name	images	prefix_states	distinct_prefixes	coincidence_depth	coincidence_unresolved	property_f_nodes	property_f_zero_nodes	property_f_nonzero_nodes	property_f_sccs	property_f_nonzero_cycles	property_f_boundary_edges	property_f_cyclic_sccs	property_f_zero_cycle_components	property_f_mixed_cycle_components	property_f_self_loops	return_words	return_phase_states	return_phase_edges	return_phase_sccs	return_phase_cycle_components	return_transport_closed	coincidence_holds	property_f_holds	inconclusive	trusted_padic
first_anchor	001/2/00	6	3	7	0	10	3	7	10	0	6	1	1	0	1	3	6	13	1	1	1	1	1	0	1
first_010	010/2/00	6	3	2	0	6	3	3	6	0	3	1	1	0	1	3	5	12	1	1	1	1	1	0	1
first_100	100/2/00	6	4	7	0	6	3	3	4	0	3	1	1	0	0	0	0	0	0	0	0	1	1	0	1
second_anchor	001/2/03/4/00	9	3	9	0	4277	5	4272	4277	0	2396	1	1	0	1	5	11	23	1	1	1	1	1	0	1
second_001_30	001/2/30/4/00	9	4	7	0	5505	5	5500	5505	0	3080	1	1	0	1	5	12	25	1	1	1	1	1	0	1
second_010_03	010/2/03/4/00	9	3	4	0	9	5	4	9	0	4	1	1	0	1	5	9	21	1	1	1	1	1	0	1
second_010_30	010/2/30/4/00	9	4	4	0	9	5	4	9	0	4	1	1	0	1	5	9	21	1	1	1	1	1	0	1
second_100_03	100/2/03/4/00	9	4	7	0	7966	5	7961	7964	0	4460	1	1	0	0	0	0	0	0	0	0	1	1	0	1
second_100_30	100/2/30/4/00	9	5	9	0	7966	5	7961	7962	0	4460	1	1	0	0	0	0	0	0	0	0	1	1	0	1
